State,Hospital,City,Zip Code,Designation,Organization_x,y,x
North Dakota,Presentation Medical Center,Rolla,58367,Acute Stroke Ready Hospital,State,48.86222,-99.61508
North Dakota,St. Andrew's Health Center,Bottineau,58318,Acute Stroke Ready Hospital,State,48.829,-100.44913
North Dakota,Pembina County Memorial Hospital,Cavalier,58220,Acute Stroke Ready Hospital,State,48.79231,-97.6185
Washington,PeaceHealth St. Joseph Medical Center,Bellingham,98225,Level II,State,48.77396,-122.47323
North Dakota,Cavalier County Memorial,Langdon,58249,Acute Stroke Ready Hospital,State,48.76205,-98.36622
Washington,North Valley Hospital,Tonasket,98855,Level III,State,48.70653,-119.43883
Idaho,Boundary Community Hospital,Bonners Ferry,82805,Level III,State,48.70242,-116.32172
Washington,Ferry County Memorial Hospital,Republic,99166,Level III,State,48.65275,-118.73154
Washington,Providence Mount Carmel Hospital,Colville,99114,Level III,State,48.54112,-117.8932
Washington,Island Hospital,Anacortes,98221,Level II,State,48.50194,-122.61549
Washington,United General Hospital,Sedro Woolley ,98284,Level III,State,48.495467,-122.277168
North Dakota,Towner County Medical Center,Cando,58324,Acute Stroke Ready Hospital,State,48.49258,-99.21092
Washington,Skagit Valley Hospital,Mount Vernon,98274,Primary Stroke Center,DNV GL,48.41943,-122.32428
North Dakota,Unity Medical Center,Grafton,58237,Acute Stroke Ready Hospital,State,48.41145,-97.41439
North Dakota,Tioga Medical Center,Tioga,58852,Acute Stroke Ready Hospital,State,48.40262,-102.93483
North Dakota,First Care Health Center,Park River,58270,Acute Stroke Ready Hospital,State,48.39947,-97.74397
Washington,Mid-Valley Hospital,Omak,98841,Level III,State,48.3966,-119.54609
North Dakota,Heart of America Medical Center,Rugby,58368,Acute Stroke Ready Hospital,State,48.3639,-99.99728
North Dakota,Mountrail Medical Center,Stanely,58784,Acute Stroke Ready Hospital,State,48.311634,-102.380465
Washington,Providence St. Joseph's Hospital,Chewelah,99109,Level III,State,48.27806,-117.71155
Idaho,Bonner General Hospital - Sandpoint,Sandpoint,83864,Level III,State,48.277452,-116.549291
North Dakota,Trinity Hospitals,Minot,58701,Primary Stroke Center,The Joint Commmission,48.23241,-101.29332
Washington,WhidbeyHealth Medical Center,Coupeville,98239,Level III,State,48.21356,-122.68591
Washington,Cascade Valley Hospital,Arlington,98223,Level III,State,48.1888,-122.11853
Washington,Newport Hospital and Health Services,Newport,99156,Level III,State,48.18249,-117.0491
North Dakota,CHI St. Alexius Health Williston Medical Center,Williston,58801,Acute Stroke Ready Hospital,State,48.155603,-103.645382
Montana,Kalispell Regional Medical Center,Kalispell,59901,Primary Stroke Center,The Joint Commission,48.13564,-114.324582
Washington,Olympic Medical Center,Port Angeles,98362,Level III,State,48.11559,-123.4147
North Dakota,CHI St. Alexius Devils Lake,Devils Lake,58301,Acute Stroke Ready Hospital,State,48.11557,-98.84982
Washington,Three Rivers Hospital,Brewster,98812,Level III,State,48.10663,-119.78275
Washington,Jefferson Healthcare,Port Townsend,98368,Level III,State,48.10567,-122.78968
Washington,Providence Regional Medical Center Everett,Everett,98201,Primary Stroke Center,The Joint Commission,47.99985,-122.20563
Washington,Forks Hospital,Forks,98331,Level III,State,47.94602,-124.39247
Washington,Coulee Medical Center,Grand Coulee,99133,Level III,State,47.94217,-119.00785
North Dakota,Altru Health System,Grand Forks,58206,Primary Stroke Center,The Joint Commmission,47.90943,-97.06803
Washington,EvergreenHealth Monroe,Monroe,98304,Primary Stroke Center,The Joint Commission,47.86384,-121.98888
Washington,Lake Chelan Community Hospital,Chelan,98816,Level III,State,47.84498,-120.00982
North Dakota,McKenzie County Healthcare System,Watford City,58854,Acute Stroke Ready Hospital,State,47.80357,-103.27145
Washington,Swedish Edmonds,Edmonds,98122,Primary Stroke Center,DNV GL,47.803519,-122.333652
North Dakota,St. Aloisius Medical Center,Harvey,58341,Acute Stroke Ready Hospital,State,47.76724,-99.93249
Washington,EvergreenHealth Medical Center,Kirkland,98034,Level II,State,47.71582,-122.17872
Washington,UW Medical Center - Northwest,Seattle,98133,Level II,State,47.71244,-122.33916
Washington,Providence Holy Family Hospital,Spokane,99208,Level II,State,47.7091,-117.40607
Washington,Multicare Valley Hospital,Spokane Valley,99216,Level III,State,47.67149,-117.23527
Washington,Swedish Ballard,Seattle,98107,Level III,State,47.66742,-122.37961
Washington,Lincoln Hospital,Davenport,99122,Level III,State,47.65888,-118.14555
Washington,Multicare Deaconess Hospital,Spokane,99204,Comprehensive Stroke Center,DNV GL,47.65154,-117.42348
Washington,Providence Sacred Heart Medical Center and Children's Hospital,Spokane,99204,Level I,State,47.648887,-117.413419
Washington,University of Washington Medical Center,Seattle,98195,Primary Stroke Center,The Joint Commission,47.64872,-122.30637
North Dakota,CHI St. Alexius Garrison,Garrison,58540,Acute Stroke Ready Hospital,State,47.64852,-101.41048
Washington,Overlake Hospital Medical Center,Bellevue,98004,Primary Stroke Center,The Joint Commission,47.6209987,-122.1865
Washington,Virginia Mason Medical Center,Seattle,98111,Comprehensive Stroke Center,DNV GL,47.60954,-122.32794
Washington,Swedish First Hill,Seattle,98122,Level II,State,47.608098,-122.322161
Washington,Swedish Cherry Hill,Seattle,98122,Comprehensive Stroke Center,DNV GL,47.60687,-122.31022
Washington,Harborview Medical Center,Seattle,98104,Comprehensive Stroke Center,The Joint Commission,47.60356,-122.32473
Washington,Harrison Medical Center,Bremerton,98310,Primary Stroke Center,The Joint Commission,47.58295,-122.62505
Washington,Swedish Issaquah,Issaquah,98029,Level II,State,47.53611,-122.02194
North Dakota,CHI St. Alexius Health Turtle Lake Hospital,Turtle Lake,58575,Acute Stroke Ready Hospital,State,47.51828,-100.89448
Washington,Snoqualmie Valley Hospital,Snoqualmie,98065,Level III ,State,47.51276,-121.88572
North Dakota,Sanford Mayville Medical Center,Mayville,58257,Acute Stroke Ready Hospital,State,47.50066,-97.31728
Washington,Highline Medical Center,Burien,98166,Primary Stroke Center,The Joint Commission,47.45677,-122.3428
North Dakota,CHI St. Alexius Carrington,Carrington,58421,Acute Stroke Ready Hospital,State,47.45453,-99.12307
Washington,UW Medicine Valley Medical Center,Renton,98055,Primary Stroke Center,The Joint Commission,47.44191,-122.2129
Washington,Central Washington Hospital,Wenatchee,98801,Primary Stroke Center,DNV GL,47.40734,-120.32293
Washington,St. Anthony Hospital,Gig Harbor,98332,Level II,State,47.36413,-122.6129
Washington,Odessa Memorial Healthcare Center,Odessa,99159,Level III,State,47.331594,-118.682202
Washington,Columbia Basin Hospital,Ephrata,98823,Level III,State,47.31431,-119.54626
Washington,Multicare Auburn Regional Medical Center,Auburn,98001,Primary Stroke Center,DNV GL,47.309124,-122.229539
North Dakota,Sakakawea Medical Center,Hazen,58545,Acute Stroke Ready Hospital,State,47.29841,-101.61099
Washington,St. Francis Hospital,Federal Way,98003,Level II,State,47.29261,-122.32728
Washington,Multicare Tacoma General Hospital,Tacoma,98405,Comprehensive Stroke Center,DNV GL,47.25977,-122.45316
Washington,St. Joseph Medical Center,Tacoma,98405,Level I,State,47.245569,-122.447339
Washington,Allenmore Hospital,Tacoma,98405,Level III,State,47.2419,-122.48138
Washington,Quincy Valley Medical Center,Quincy,98848,Level III,State,47.23095,-119.86798
Washington,Mason General Hospital,Shelton,98584,Level III,State,47.22557,-123.11415
Washington,St. Elizabeth Hospital,Enumclaw,98022,Level III,State,47.20869,-121.9881
Washington,Multicare Good Samaritan Hospital,Puyallup,98372,Primary Stroke Center,DNV GL,47.17755,-122.28943
Washington,St. Clare Hospital,Lakewood,98499,Level III,State,47.1544,-122.50206
Washington,Samaritan Hospital,Moses Lake,98837,Level III,State,47.12978392,-119.2653112
Washington,East Adams Rural Hospital,Ritzville,99169,Level III,State,47.120928,-118.372193
Washington,Madigan Army Medical Center,Tacoma,98431,Level II,State,47.10815,-122.55068
Washington,Providence St. Peter's Hospital,Olympia,98506,Level I,State,47.05274,-122.84462
Washington,Capital Medical Center,Olympia,98502,Level II,State,47.04294,-122.95174
Washington,Summit Pacific Medical Center,Elma,98557,Level III,State,47.00664,-123.392578
Washington,Kittitas Valley Community Hospital,Ellensburg,98926,Level II,State,46.987389,-120.537576
Washington,Grays Harbor Community Hospital,Aberdeen,98520,Level II,State,46.97914,-123.84744
North Dakota,CHI Mercy Health Valley City,Valley City,58072,Acute Stroke Ready Hospital,State,46.92836,-97.9936
North Dakota,Jamestown Regional Medical Center,Jamestown,38556,Acute Stroke Ready Hospital,State,46.8899,-98.74686
North Dakota,CHI St. Alexius Dickinson,Dickinson,58601,Acute Stroke Ready Hospital,State,46.889705,-102.821802
Montana,Providence St. Patrick Hospital,Missoula,59802,Primary Stroke Center,The Joint Commission,46.87488,-114.00043
Washington,Whiteman Hospital,Colfax,99111,Level III,State,46.86887,-117.37562
North Dakota,Sanford Medical Center Fargo,Fargo,58122,Comprehensive Stroke Center,The Joint Commmission,46.84551,-96.8768
North Dakota,Essentia Health - Fargo,Fargo,58103,Comprehensive Stroke Center,DNV GL,46.831724,-96.827792
Washington,Othello Community Hospital,Othello,99344,Level III,State,46.83117,-119.15525
North Dakota,Sanford Medical Center Bismarck,Bismarck,58501,Primary Stroke Center,The Joint Commmission,46.80811,-100.78227
North Dakota,CHI St. Alexius,Bismarck,58501,Thrombectomy Capable Center,DNV GL,46.80698,-100.77783
Minnesota,St. Luke's Hospital of Duluth,Duluth,55805,Primary Stroke Center,DNV GL,46.79686,-92.08781
Minnesota,St. Mary's Medical Center,Duluth,55805,Thrombectomy Capable Stroke Center,The Joint Commission,46.79316,-92.09648
Washington,Pullman Regional Hospital,Pullman,99163,Level III,State,46.71277,-117.16951
Washington,Providence Centralia Hospital,Centralia,98531,Level III,State,46.71212,-122.98676
Washington,Willapa Harbor Hospital,South Bend,98586,Level III,State,46.66254,-123.81233
Washington,Virginia Mason Memorial Hospital,Yakima,98902,Level II,State,46.5936,-120.5474
Washington,Morton General Hospital,Morton,98356,Level III,State,46.55567,-122.27984
Michigan,UPHS Marquette,Marquette,49855,Primary Stroke Center,The Joint Commission,46.554278,-87.401111
Washington,Garfield County Hospital District,Pomeray,99347,Level III,State,46.47556,-117.60253
North Dakota,Lisbon Area Health Services,Lisbon,58054,Acute Stroke Ready Hospital,State,46.438375,-97.68144
Idaho,St Joseph Regional Medical Center - Lewiston,Lewiston,83501,Level II,State,46.41641,-117.02444
North Dakota,CHI Jacobson Memorial Hospital,Elgin,58533,Acute Stroke Ready Hospital,State,46.40709,-101.84172
Washington,Tri State Memorial Hospital,Clarkston,99403,Level II,State,46.403,-117.05433
Washington,Toppenish Community Hospital,Toppenish,98948,Level II,State,46.371152,-120.316749
Minnesota,Essentia Health St. Joseph's Medical Center,Brainerd,56401,Primary Stroke Center,DNV GL,46.3616,-94.20572
Washington,Astria Sunnyside Community Hospital,Sunnyside,98944,Level III,State,46.322444,-120.007162
Washington,Dayton General Hospital,Dayton,99238,Level III,State,46.31224,-117.97024
Washington,Ocean Beach Hospital,Ilwaco,98624,Level III,State,46.31146,-124.04259
Washington,Kadlec Regional Medical Center,Richland ,99352,Primary Stroke Center,The Joint Commission,46.28132,-119.28218
North Dakota,Linton Hospital,Linton,58552,Acute Stroke Ready Hospital,State,46.27182,-100.23349
North Dakota,Wishek Community Hospital,Wishek,58495,Acute Stroke Ready Hospital,State,46.255304,-99.551432
Washington,Lourdes Medical Center,Pasco,99301,Level II,State,46.23533,-119.09501
Washington,Prosser Memorial Hospital,Prosser,99350,Level III,State,46.20809,-119.76402
North Dakota,Southwest Healthcare Services,Bowman,58623,Acute Stroke Ready Hospital,State,46.18419,-103.40656
Washington,TRIOS Healthcare,Kennewick,99338,Level II,State,46.177647,-119.193306
North Dakota,CHI Oakes Hospital,Oakes,58474,Acute Stroke Ready Hospital,State,46.15022,-98.08945
Washington,PeaceHealth St. John Medical Center,Longview,98632,Level III,State,46.13048,-122.94172
Washington,Providence St. Mary Medical Center,Walla Walla,99362,Level II,State,46.06204,-118.34326
North Dakota,Ashley Medical Center,Ashley,58413,Acute Stroke Ready Hospital,State,46.04019,-99.37174
North Dakota,West River Regional Medical Center,Hettinger,58639,Acute Stroke Ready Hospital,State,46.001783,-102.628665
Washington,Klickitat Valley Health,Goldendale,98620,Level III,State,45.81948,-120.81162
Montana,St. Vincent Healthcare,Billings,59101,Primary Stroke Center,The Joint Commission,45.79345,-108.51924
Montana,Billings Clinic,Billings,59101,Primary Stroke Center,The Joint Commission,45.789217,-108.512683
Washington,Skyline Hospital,White Salmon,98672,Level III,State,45.72242,-121.47033
Washington,Legacy Salmon Creek Medical Center,Vancouver,98686,Primary Stroke Center,The Joint Commission,45.71995,-122.64818
Montana,Bozeman Health Deaconess Hospital,Bozeman,59715,Acute Stroke Ready,DNV GL,45.66993,-111.01887
Washington,PeaceHealth Southwest Medical Center,Vancouver,98664,Level I,State,45.62459,-122.58145
Minnesota,CentraCare Health - St. Cloud Hospital,St. Cloud,56303,Comprehensive Stroke Center,DNV GL,45.574495,-94.169613
Oregon,Kaiser Foundation Hospital,Hillsboro,97124,Primary Stroke Center,The Joint Commission,45.538559,-122.877749
Oregon,Legacy Good Samaritan Hospital and Medical Center,Portland,97210,Primary Stroke Center,The Joint Commission,45.530794,-122.698212
Oregon,Providence Portland Medical Center,Portland,97213,Thrombectomy Capable Stroke Center,The Joint Commission,45.52784,-122.61388
Oregon,Tuality Healthcare,Hillsboro,97123,Primary Stroke Center,The Joint Commission,45.518795,-122.97943
Oregon,Legacy Mount Hood Medical Center,Gresham,97030,Primary Stroke Center,The Joint Commission,45.51861,-122.40787
Oregon,Portland Adventist Medical Center,Portland,97216,Primary Stroke Center,The Joint Commission,45.513923,-122.559114
Oregon,Providence St.Vincent Medical Center,Portland,97225,Comprehensive Stroke Center,The Joint Commission,45.51092,-122.77186
Oregon,VA Portland Health Care System,Portland,97239,Primary Stroke Center,The Joint Commission,45.497462,-122.682835
Oregon,Legacy Meridian Park Hospital,Tualatin,97062,Primary Stroke Center,The Joint Commission,45.378481,-122.741342
Michigan,McLaren Northern Michigan,Petoskey,49770,Primary Stroke Center,The Joint Commission,45.37353,-84.97071
Oregon,Providence Willamette Falls Medical Center,Oregon City,97045,Primary Stroke Center,The Joint Commission,45.35634,-122.58646
Minnesota,Mercy Hospital,Coon Rapids,55433,Primary Stroke Center,DNV GL,45.183182,-93.369532
Minnesota,Mercy Hospital - Unity Campus,Fridley,55432,Primary Stroke Center,DNV GL,45.10656,-93.25703
Minnesota,HealthEast St. John's Hospital,Maplewood,55109,Primary Stroke Center,The Joint Commission,45.02893,-93.0342
Minnesota,North Memorial Health Hospital,Robbinsdale,55422,Comprehensive Stroke Center,DNV GL,45.01381,-93.32168
Minnesota,Hennepin Healthcare System,Minneapolis,55415,Comprehensive Stroke Center,DNV GL,44.971805,-93.262563
Minnesota,"University of Minnesota Medical Center, Fairview",Minneapolis,55454,Comprehensive Stroke Center,The Joint Commission,44.97128,-93.23061
Wisconsin,Aspirus Wausau Hospital,Wausau,54401,Primary Stroke Center,The Joint Commission,44.96588,-89.66825
Minnesota,Regions Hospital,Saint Paul,55101,Comprehensive Stroke Center,The Joint Commission,44.95594,-93.09423
Minnesota,Abbott Northwestern Hospital,Minneapolis,55407,Comprehensive Stroke Center,DNV GL,44.95397,-93.26171
Minnesota,HealthEast St. Joseph's Hospital,Saint Paul,55102,Primary Stroke Center,The Joint Commission,44.94832,-93.10054
Minnesota,United Hospital,St. Paul ,55102,Comprehensive Stroke Center,DNV GL,44.94289,-93.10753
Minnesota,Park Nicollet Methodist Hospital,St. Louis Park,55426,Comprehensive Stroke Center,DNV GL,44.93031,-93.36109
Minnesota,HealthEast Woodwinds Hospital,Woodbury,55125,Acute Stroke Ready Hospital             ,The Joint Commission,44.92304672,-92.9437926
Minnesota,Fairview Southdale Hospital,Edina,55435,Comprehensive Stroke Center,DNV GL,44.8864,-93.32647
Wisconsin,Mayo Clinic Health System,Eau Claire,54702,Primary Stroke Center,The Joint Commission,44.81201,-91.51369
Maine,Eastern Maine Medical Center,Bangor,4401,Primary Stroke Center,The Joint Commission,44.808287,-68.751746
Wisconsin,HSHS Sacred Heart Hospital,Eau Claire,54701,Primary Stroke Center,The Joint Commission,44.79499,-91.51089
Michigan,Munson Medical Center,Traverse City,49684,Primary Stroke Center,The Joint Commission,44.76089,-85.64406
Wisconsin,MCHS Hospital,Marshfield,54449,Primary Stroke Center,The Joint Commission,44.678022,-90.178953
Oregon,Samaritan Albany General Hospital,Albany,97321,Primary Stroke Center,DNV GL,44.63177,-123.11619
Oregon,Good Samaritan Regional Medical Center,Corvallis,97330,Primary Stroke Center,DNV GL,44.60333,-123.25288
Wisconsin,St. Mary's Hospital Medical Center,Green Bay,54303,Primary Stroke Center,The Joint Commission,44.53271,-88.06631
Wisconsin,Bellin Memorial Hospital,Green Bay,54301,Primary Stroke Center,DNV GL,44.502824,-88.011545
Wisconsin,St. Vincent Hospital,Green Bay,54301,Primary Stroke Center,The Joint Commission,44.501621,-88.012799
Vermont,The University of Vermont Medical Center,Burlington,5401,Primary Stroke Center          ,The Joint Commission,44.47876,-73.19253
